title,genres,rating,imdbId
"Circle, The (Dayereh) (2000)",Drama,3 ,255094
"Center of the World, The (2001)",Drama,3 ,240402
"Visit, The (2000)",Drama,4 ,199129
Maximum Overdrive (1986),Horror,2 ,91499
"Gate, The (1987)",Horror,4 ,93075
Deadly Friend (1986),Horror,3 ,90917
Pet Sematary (1989),Horror,2 ,98084
Children of the Corn II: The Final Sacrifice (1993),Horror,5 ,106557
Children of the Corn III (1994),Horror,3 ,109415
Christine (1983),Horror,3 ,85333
"Rage: Carrie 2, The (1999)",Horror,4 ,144814
"Mummy, The (1959)",Horror,2 ,53085
Dracula (1931),Horror,3 ,21814
Frankenstein Meets the Wolf Man (1943),Horror,2 ,35899
"Curse of Frankenstein, The (1957)",Horror,3 ,50280
Howling II: Your Sister Is a Werewolf (1985),Horror,2 ,89308
Deadtime Stories (1987),Horror,5 ,92850
Pit and the Pendulum (1961),Horror,2 ,55304
"Masque of the Red Death, The (1964)",Horror,2 ,58333
Cat's Eye (1985),Horror,3 ,88889
Damien: Omen II (1978),Horror,3 ,77394
Fright Night Part II (1988),Horror,4 ,97390
Hell Night (1981),Horror,2 ,82511
Creepshow 2 (1987),Horror,4 ,92796
"Funhouse, The (1981)",Horror,2 ,82427
"Baby, The (1973)",Horror,2 ,69754
Eaten Alive (1977),Horror,3 ,74455
Blood Feast (1963),Horror,4 ,56875
Sleepwalkers (1992),Horror,3 ,105428
"Fury, The (1978)",Horror,3 ,77588
"Black Sabbath (Tre volti della paura, I) (1963)",Horror,4 ,57603
Phantasm III: Lord of the Dead (1994),Horror,4 ,110823
Phantasm IV: Oblivion (1998),Horror,4 ,138703
Sleepaway Camp (1983),Horror,3 ,86320
"Ilsa, She Wolf of the SS (1974)",Horror,3 ,71650
Hellraiser (1987),Horror,4 ,93177
Hellraiser III: Hell on Earth (1992),Horror,4 ,104409
"Slumber Party Massacre, The (1982)",Horror,4 ,84695
Slumber Party Massacre II (1987),Horror,4 ,93996
Sorority House Massacre II (1990),Horror,4 ,100663
Dracula 2000 (2000),Horror,4 ,219653
"Fall of the House of Usher, The (House of Usher) (1960)",Horror,3 ,53925
Jeepers Creepers (2001),Horror,3 ,263488
13 Ghosts (1960),Horror,4 ,53559
Bones (2001),Horror,4 ,166110
Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2) (1979),Horror,4 ,80057
Nosferatu the Vampyre (Nosferatu: Phantom der Nacht) (1979),Horror,2 ,79641
"Hills Have Eyes, The (1977)",Horror,4 ,77681
Horror of Dracula (Dracula) (1958),Horror,3 ,51554
Below (2002),Horror,4 ,276816
"Beast Within, The (1982)",Horror,1 ,83629
House of 1000 Corpses (2003),Horror,2 ,251736
"Brood, The (1979)",Horror,3 ,78908
Beyond Re-Animator (2003),Horror,3 ,222812
Kwaidan (Kaidan) (1964),Horror,4 ,58279
"Witchfinder General (Conquerer Worm, The) (1968)",Horror,2 ,63285
Night of the Living Dead (1990),Horror,3 ,100258
Candyman 3: Day of the Dead (1999),Horror,3 ,165662
Ju-on: The Curse (2000),Horror,1 ,330500
"Woods, The (2006)",Horror,1 ,380066
Halloween (2007),Horror,4 ,373883
Friday the 13th (2009),Horror,4 ,758746
"Human Centipede, The (First Sequence) (2009)",Horror,4 ,1467304
Spirit Camp (2009),Horror,4 ,1078933
Annabelle (2014),Horror,4 ,3322940
It Follows (2014),Horror,4 ,3235888
The Eye: Infinity (2005),Horror,3 ,455135
Mortuary (1983),Horror,3 ,87746
Always Watching: A Marble Hornets Story (2015),Horror,2 ,2737926
Gigi (1958),Musical,4 ,51658
"Broadway Melody, The (1929)",Musical,3 ,19729
Tommy (1975),Musical,3 ,73812
Gypsy (1962),Musical,4 ,56048
"Unsinkable Molly Brown, The (1964)",Musical,3 ,58708
Breakin' 2: Electric Boogaloo (1984),Musical,4 ,86999
Silk Stockings (1957),Musical,3 ,50972
"Jolson Story, The (1946)",Musical,4 ,38661
Moonwalker (1988),Musical,2 ,95655
Cats (1998),Musical,4 ,2227830
Jack and Sarah (1995),Romance,3 ,113448
Kama Sutra: A Tale of Love (1996),Romance,3 ,116743
Love Jones (1997),Romance,4 ,119572
Fall (1997),Romance,4 ,119098
Meet Joe Black (1998),Romance,2 ,119643
"Autumn Tale, An (Conte d'automne) (1998)",Romance,3 ,137439
Against All Odds (1984),Romance,3 ,86859
Brown Sugar (2002),Romance,4 ,297037
Open Hearts (Elsker dig for evigt) (2002),Romance,2 ,315543
Dirty Dancing: Havana Nights (2004),Romance,4 ,338096
Raise Your Voice (2004),Romance,2 ,361696
Emma (1996),Romance,4 ,118308
"Paris, I Love You (Paris, je t'aime) (2006)",Romance,2 ,401711
It Came from Outer Space (1953),Sci-Fi,3 ,45920
Earth vs. the Flying Saucers (1956),Sci-Fi,3 ,49169
Zone 39 (1997),Sci-Fi,2 ,120554
20 Million Miles to Earth (1957),Sci-Fi,4 ,50084
Android (1982),Sci-Fi,2 ,83557
"Amazing Transparent Man, The (1960)",Sci-Fi,2 ,53593
"Boy and His Dog, A (1975)",Sci-Fi,1 ,72730
Brave New World (1998),Sci-Fi,4 ,145600
Babylon 5,Sci-Fi,3 ,105946
Stargate: Continuum (2008),Sci-Fi,3 ,929629
Jade (1995),Thriller,3 ,113451
Safe (1995),Thriller,4 ,114323
Hideaway (1995),Thriller,3 ,113303
Red Rock West (1992),Thriller,3 ,105226
Blink (1994),Thriller,3 ,109297
Malice (1993),Thriller,4 ,107497
Sliver (1993),Thriller,4 ,108162
Fear (1996),Thriller,4 ,116287
Cape Fear (1991),Thriller,3 ,101540
Stranger in the House (1997),Thriller,3 ,120222
Hush (1998),Thriller,2 ,118744
"Perfect Murder, A (1998)",Thriller,2 ,120787
"Dead Zone, The (1983)",Thriller,3 ,85407
Frenzy (1972),Thriller,4 ,68611
Torn Curtain (1966),Thriller,4 ,61107
Secret Agent (1936),Thriller,3 ,28231
Strangeland (1998),Thriller,3 ,124102
Arlington Road (1999),Thriller,4 ,137363
I Saw What You Did (1965),Thriller,4 ,59297
"Ipcress File, The (1965)",Thriller,3 ,59319
"Bone Collector, The (1999)",Thriller,2 ,145681
Coma (1978),Thriller,3 ,77355
Felicia's Journey (1999),Thriller,3 ,165773
Dead Calm (1989),Thriller,3 ,97162
"Odessa File, The (1974)",Thriller,3 ,71935
Eye of the Beholder (1999),Thriller,3 ,120662
Seven Days in May (1964),Thriller,3 ,58576
"In Crowd, The (2000)",Thriller,3 ,163676
"Crush, The (1993)",Thriller,2 ,106627
Bless the Child (2000),Thriller,2 ,163983
"Gift, The (2000)",Thriller,3 ,219699
"Fourth Protocol, The (1987)",Thriller,2 ,93044
15 Minutes (2001),Thriller,4 ,179626
Don't Say a Word (2001),Thriller,3 ,260866
Domestic Disturbance (2001),Thriller,4 ,249478
Panic Room (2002),Thriller,4 ,258000
Swimfan (2002),Thriller,5 ,283026
"Eyewitness (Janitor, The) (1981)",Thriller,2 ,82353
Tightrope (1984),Thriller,2 ,88272
Twisted (2004),Thriller,3 ,315297
"Parallax View, The (1974)",Thriller,3 ,71970
"Manchurian Candidate, The (2004)",Thriller,4 ,368008
Across the Hall (2009),Thriller,5 ,1176724
"Best Offer, The (Migliore offerta, La) (2013)",Thriller,4 ,1924396
Bad Karma (2012),Thriller,4 ,1847548
Felony (2013),Thriller,2 ,2402603
"Guest, The (2014)",Thriller,3 ,2980592
Pork Chop Hill (1959),War,3 ,53183
Run Silent Run Deep (1958),War,4 ,52151
"Objective, Burma! (1945)",War,3 ,37954
Battle for Haditha (2007),War,4 ,870211
Wild Bill (1995),Western,2 ,114938
Wyatt Earp (1994),Western,4 ,111756
Bad Girls (1994),Western,3 ,109198
Alvarez Kelly (1966),Western,4 ,60095
Little Big Man (1970),Western,4 ,65988
Jeremiah Johnson (1972),Western,3 ,68762
One-Eyed Jacks (1961),Western,4 ,55257
She Wore a Yellow Ribbon (1949),Western,3 ,41866
Tom Horn (1980),Western,2 ,80031
Nevada Smith (1966),Western,2 ,60748
Winchester '73 (1950),Western,3 ,43137
Open Range (2003),Western,3 ,316356
Pat Garrett and Billy the Kid (1973),Western,2 ,70518
Appaloosa (2008),Western,3 ,800308
Winds of the Wasteland (1936),Western,4 ,28510
